country,score,"Avg. Suicide rate"
Lithuania,5.813,33.35
Suriname,6.269,28.70
Kazakhstan,5.919,28.33
Belarus,5.802,27.68
Ukraine,4.324,23.28
Cameroon,4.513,22.47
Latvia,5.560,22.08
Uganda,3.739,21.57
Belgium,6.929,20.15
Zimbabwe,4.193,19.92
Uruguay,6.545,19.90
Nigeria,4.875,19.48
India,4.404,19.40
"Sierra Leone",4.635,18.70
Togo,3.303,18.55
Chad,3.763,18.22
Benin,3.484,18.18
Japan,5.921,17.90
Poland,5.835,17.83
Estonia,5.517,17.53
Hungary,5.145,17.45
Iceland,7.501,17.45
Finland,7.413,17.17
Slovenia,5.768,16.95
Burundi,2.905,16.92
"Sri Lanka",4.415,16.63
"Burkina Faso",3.739,16.62
"South Africa",4.459,16.38
Mongolia,4.907,16.18
"El Salvador",6.068,15.90
Thailand,6.474,15.63
"Trinidad and Tobago",6.168,15.53
Croatia,5.488,14.85
France,6.478,14.82
Australia,7.313,14.43
Sweden,7.291,14.38
Liberia,3.622,14.37
Bhutan,5.196,14.33
Haiti,4.028,14.32
Namibia,4.574,14.17
Austria,7.119,14.17
Botswana,3.974,13.93
Ireland,6.907,13.92
Nicaragua,5.992,13.83
"New Zealand",7.334,13.78
Switzerland,7.509,13.50
Canada,7.404,13.37
Slovakia,6.078,13.27
Comoros,3.956,12.90
Serbia,5.177,12.90
Norway,7.498,12.88
"Dominican Republic",5.155,12.80
Luxembourg,6.871,12.72
Zambia,4.795,12.72
Netherlands,7.339,12.43
Senegal,4.219,12.32
Ethiopia,4.508,12.27
Chile,6.705,12.07
Rwanda,3.515,11.75
Guinea,3.607,11.72
Yemen,3.724,11.55
Denmark,7.526,11.48
Germany,6.994,11.22
Kyrgyzstan,5.185,11.17
Sudan,4.139,10.97
Nepal,4.793,10.92
Gabon,4.121,10.85
Paraguay,5.538,10.83
Argentina,6.650,10.67
Romania,5.528,10.67
Portugal,5.123,10.57
Niger,3.856,10.07
Angola,3.866,10.03
Singapore,6.739,9.70
Mali,4.073,9.62
Montenegro,5.161,9.57
Bulgaria,4.217,9.57
Ghana,4.276,9.48
Myanmar,4.395,9.43
Somalia,5.440,9.42
"Costa Rica",7.087,9.28
Mauritius,5.648,8.87
Uzbekistan,5.987,8.87
China,5.245,8.85
Turkmenistan,5.658,8.67
Georgia,4.252,8.48
Mauritania,4.201,8.45
Colombia,6.481,8.33
Ecuador,5.976,8.32
"Bosnia and Herzegovina",5.163,8.05
Malta,6.488,7.97
Turkey,5.389,7.93
Spain,6.361,7.70
Malawi,4.156,7.67
Madagascar,3.695,7.60
Belize,5.956,7.50
Brazil,6.952,7.47
Malaysia,6.005,7.15
Qatar,6.375,7.08
Cambodia,3.907,7.00
"South Sudan",3.832,6.78
Italy,5.977,6.77
Albania,4.655,6.75
Afghanistan,3.360,6.70
Libya,5.615,6.60
Armenia,4.360,6.60
Bangladesh,4.643,6.58
Israel,7.267,6.45
Peru,5.743,6.32
Bahrain,6.218,6.17
Mexico,6.778,6.03
Cyprus,5.546,5.88
Kenya,4.356,5.78
Egypt,4.362,5.40
Iraq,4.575,5.10
Panama,6.701,5.08
Greece,5.033,5.00
Indonesia,5.314,4.40
Jordan,5.303,4.25
Tajikistan,4.996,4.20
"Saudi Arabia",6.379,4.17
Honduras,4.871,4.08
Lebanon,5.129,4.00
Algeria,6.355,3.97
Tunisia,5.045,3.95
Philippines,5.279,3.72
Guatemala,6.324,3.55
Pakistan,5.132,3.48
Morocco,5.151,3.33
"United Arab Emirates",6.573,3.17
Azerbaijan,5.291,3.15
Kuwait,6.239,2.58
Jamaica,5.510,2.48
